date,p_structural,p_shock,tactical_level,risk_regime,base_allocation,shock_modifier,tactical_multiplier,final_allocation,allocation_action,drawdown_252,ret5d,vol20,hurst_100
2025-08-06,0.0069603334071894,0.0031202814712266,0,NORMAL,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0067807019344101,-0.0026479065980166,0.006414921032906,0.8053134990502668
2025-08-05,0.0096078456047649,0.0033275926278912,2,NORMAL,1.0,1.0,0.8,0.8,LIGHT_REDUCE,0.0143305739369183,-0.0114756910137412,0.0063303681412107,0.8060571634917959
2025-08-04,0.0081321960621989,0.0033275926278912,0,NORMAL,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.009307796077724,-0.0090589799860506,0.0061953632682889,0.8068976507848437
2025-08-01,0.0179197984685957,0.0033438041777753,2,NORMAL,1.0,1.0,0.8,0.8,LIGHT_REDUCE,0.0241407441515663,-0.0241407441515663,0.0054623920595822,0.8073919784288628
2025-07-31,0.0069753181636858,0.0031959252851737,0,NORMAL,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0078794887885489,-0.0036884159356598,0.0039329066566784,0.8078601969719756
2025-07-30,0.0068614891147994,0.0031959252851737,0,NORMAL,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0041437676460842,0.0003942259306581,0.0041200471487294,0.8087847737547528
2025-07-29,0.0068402638932818,0.0031959252851737,0,NORMAL,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0028880250057834,0.0101771831380494,0.0041471184853376,0.8095065056977693
2025-07-28,0.0067619027597644,0.0032850627299575,0,NORMAL,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0002510907174575,0.0129936301006567,0.0040594641729826,0.8103110690395436
2025-07-25,0.0067581124708038,0.0032850627133252,0,NORMAL,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0,0.0151693629847629,0.0040989895200271,0.8109134054207479
2025-07-24,0.0067468286207091,0.0032850627299575,0,NORMAL,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0,0.0101586081531983,0.0041256097309321,0.8105780148339723
2025-07-23,0.0067623929367642,0.0032850627299575,0,NORMAL,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0,0.01600399886084,0.0043190221595658,0.8102713357436312
2025-07-22,0.0067554879255277,0.0031959252851737,0,NORMAL,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0,0.0108014672306258,0.0040657470912657,0.8094436055367638
2025-07-21,0.0067514661916071,0.0031959252851737,0,NORMAL,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0,0.0063379623025299,0.0045362341545217,0.8080922695100469
2025-07-18,0.0067782314235655,0.0031959252851737,0,NORMAL,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0007323729567987,0.0063499575701564,0.0048361234006506,0.8071720818599561
2025-07-17,0.0067522287701309,0.0031959252851737,0,NORMAL,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0,0.0035473406911512,0.0049101426012225,0.8069429853863792
2025-07-16,0.0068254625550084,0.0031959252851737,0,NORMAL,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0025566551946594,0.0002563373659416,0.0048737471932685,0.8062835486364268
2025-07-15,0.0069330173197645,0.0031959252851737,0,NORMAL,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0058802579038801,0.0029015336904258,0.0048989785390432,0.8060731128722234
2025-07-14,0.0068138689152693,0.0031959252851737,0,NORMAL,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0016138364825525,0.0066540885690726,0.005273884282843,0.8058314137631166
2025-07-11,0.0068498685094575,0.0031202814712266,0,NORMAL,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0035152660221063,-0.0027505258343777,0.0055371679444907,0.8058477969739639
2025-07-10,0.0067489759898699,0.0031202814712266,0,NORMAL,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0,0.0007674379362299,0.0061908509865793,0.8059598393352608
2025-07-09,0.0068223498830325,0.0031202814712266,0,NORMAL,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0020469919780256,0.0058182641334409,0.0062046275546668,0.8063696648991684
2025-07-08,0.0070022602897054,0.0031202814712266,0,NORMAL,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.007995666694774,0.0043552549089294,0.0062216468290221,0.8067261858520349
2025-07-07,0.0069781128014339,0.0031202814712266,2,NORMAL,1.0,1.0,0.8,0.8,LIGHT_REDUCE,0.0074521384454895,0.0045803703381726,0.0062650199471061,0.8069615120690108
2025-07-03,0.0067832302204632,0.0031202814712266,0,NORMAL,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0,0.0220145895124537,0.006107787531733,0.8077299492108547
2025-07-02,0.0067822312470825,0.0031202814712266,0,NORMAL,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0,0.0219561980148685,0.0062140075769981,0.808273513104794
2025-07-01,0.0067785911958015,0.0031202814712266,0,NORMAL,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0003235926031718,0.0179142923536355,0.0062112359021441,0.8085815326816062
2025-06-30,0.0067916163327835,0.0031202814712266,0,NORMAL,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0,0.0294925232563718,0.0062415179946746,0.8088260659818319
2025-06-27,0.006804201866942,0.0031202814712266,0,NORMAL,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0,0.0347141323383008,0.0062626027852787,0.8090996739490124
2025-06-26,0.0067901002049014,0.0031202814712266,0,NORMAL,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0,0.0271807956082199,0.0062733895497505,0.8092392963369596
2025-06-25,0.0068817670501324,0.0031202814712266,0,NORMAL,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0035622726731432,0.0192067207292043,0.0061419676063865,0.8093548866470326
2025-06-24,0.0069053553164829,0.0031202814712266,0,NORMAL,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0041203197441466,0.0184823722027198,0.0063685542175338,0.809375423368579
2025-06-23,0.0077131174280324,0.0031202814712266,0,NORMAL,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0150017842595463,-0.0012539510951922,0.0074246044946597,0.8093717773484349
2025-06-20,0.0091758959244874,0.0031202814712266,0,NORMAL,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0246358790717337,-0.0016133154002732,0.0071951951413576,0.8092774514872307
2025-06-18,0.0092850034227313,0.0033275926278912,0,NORMAL,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0223399168581396,-0.0065185800673204,0.0073842401176163,0.8094202976255479
2025-06-17,0.0101831586162866,0.0033275926278912,2,NORMAL,1.0,1.0,0.8,0.8,LIGHT_REDUCE,0.022192521504307,-0.009202744591527,0.0084234830720212,0.8094636319482222
2025-06-16,0.007558351814758,0.0031202814712266,0,NORMAL,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0137650939189493,0.0050026020676299,0.0082099571577047,0.8095305756819494
2025-06-13,0.0089014757650013,0.0031202814712266,2,NORMAL,1.0,1.0,0.8,0.8,LIGHT_REDUCE,0.0230597663476358,-0.0035716781276589,0.0079450469918326,0.8094646365658
2025-06-12,0.0073485356356868,0.0031202814712266,0,NORMAL,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0120140814448492,0.0180424020741143,0.0075737043332514,0.8095446078738638
2025-06-11,0.0078614683261432,0.0031202814712266,0,NORMAL,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0159251461309576,0.0091118053445551,0.0075943288436495,0.8095303733767341
2025-06-10,0.0074796911090791,0.0031202814712266,0,NORMAL,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0131104288408882,0.0117264785654234,0.0075346574271514,0.809547263081424
2025-06-09,0.0082676872662396,0.0031202814712266,0,NORMAL,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0186742760147762,0.0117593814641592,0.007565399887309,0.8095331926288721
2025-06-06,0.0271068056802738,0.0031202814712266,0,NORMAL,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0195579428968436,0.0165424378650558,0.010348086566735,0.8094533912971827
2025-06-05,0.0327550349909208,0.0031202814712266,0,NORMAL,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0295238031910338,0.0050842479299952,0.0102454619505129,0.8093824410271682
2025-06-04,0.0299920882781827,0.0031202814712266,0,NORMAL,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0248108795704398,0.0139518907615181,0.010142057379781,0.8092590124296795
2025-06-03,0.0297611655129605,0.0031202814712266,0,NORMAL,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0245490336889561,0.0083565738109863,0.0101140903496159,0.8090975873768039
2025-06-02,0.0333398870913288,0.0031202814712266,1,NORMAL,1.0,1.0,0.9,0.9,LIGHT_REDUCE,0.0300799360366628,0.0234844552892754,0.0104211159755758,0.8083465092101781
2025-05-30,0.0369648818435107,0.0031202814712266,1,NORMAL,1.0,1.0,0.9,0.9,LIGHT_REDUCE,0.035512910644161,0.0177514415458193,0.0105549877462671,0.8076394783654982
2025-05-29,0.0361112205702083,0.0031202814712266,1,NORMAL,1.0,1.0,0.9,0.9,LIGHT_REDUCE,0.0344329852868607,0.0119363939964525,0.0109035914551598,0.8069968437890521
2025-05-28,0.0388251890725269,0.0031202814712266,2,NORMAL,1.0,1.0,0.8,0.8,LIGHT_REDUCE,0.0382293979479101,0.0083555417534142,0.0109433550925661,0.8068898834343698
2025-05-27,0.0346800921882599,0.0031202814712266,1,NORMAL,1.0,1.0,0.9,0.9,LIGHT_REDUCE,0.0326329081939525,-0.0028674701647891,0.0107690481042314,0.8068894879499081
2025-05-23,0.1098744641328584,0.0033275926278912,2,NORMAL,1.0,1.0,0.8,0.8,LIGHT_REDUCE,0.052335324732215,-0.0253954846807514,0.0099830260855291,0.807469092247113
2025-05-22,0.0174997520587725,0.0033275926278912,1,NORMAL,1.0,1.0,0.9,0.9,LIGHT_REDUCE,0.0458224247674166,-0.0124818376374722,0.0097793020182537,0.8081184461769911
2025-05-21,0.0504987922869392,0.0033275926278912,2,NORMAL,1.0,1.0,0.8,0.8,LIGHT_REDUCE,0.0461989226739593,-0.0080500136264206,0.0105217139634493,0.8081055002055577
2025-05-20,0.0101152463377585,0.0031202814712266,0,NORMAL,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0298510349813604,0.0102412173511823,0.009538574996819,0.8081959116154571
2025-05-19,0.0310816009465701,0.0031202814712266,0,NORMAL,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0265782133345745,0.0203433368432937,0.0102677700165192,0.8077959037866423
2025-05-16,0.0321619668771901,0.0031202814712266,0,NORMAL,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.02764181740184,0.0529113101004548,0.0123662825680395,0.8074548970829839
2025-05-15,0.0361089507150186,0.0031202814712266,1,NORMAL,1.0,1.0,0.9,0.9,LIGHT_REDUCE,0.0337619989187648,0.0449511239524285,0.0124421258563335,0.8074243300139707
2025-05-14,0.0395913097071979,0.0031202814712266,1,NORMAL,1.0,1.0,0.9,0.9,LIGHT_REDUCE,0.0384585005006202,0.0471175289148968,0.0124799300034931,0.8076750738178029
