date,p_lead5,p_lead10,srs,srs_accel,sentiment_signal,vol20,vol60,hurst_100,drawdown_252,ret5d,ret20d,external_event,is_trading_day,lead5_slope_5d,trend_score,trend_score_slope_5d,mode,active_track,switch_reason,action,reference_prob,execution_signal,warning_level,signal_stage,prewarning_type,warning_source,warning_sources,portfolio_state,cooldown_left,normal_streak,is_new_warning,short_early_streak,short_streak,watch_streak,short_trend_streak,dd_expand_streak
2017-09-01,0.0840336134453781,0.1182795698924731,0.24875186308833286,-0.26979601041038903,0,0.006296273901302451,0.004843598387406295,0.7966282153220232,0.0001211120069060101,0.013411656064173272,0.0017379664423262664,0,1,0.0,0.1428174240273628,0.0012510683253411869,NORMAL,LEAD5,high_hurst,HOLD_STRATEGIC,0.0840336134453781,NONE,NONE,NONE,NONE,NONE,NONE,NORMAL,0,0,0,0,0,0,0.0,0.0
2017-08-31,0.0840336134453781,0.1182795698924731,0.44410302621848,-0.1769896928901658,0,0.006301394724935723,0.004847914269828863,0.7982334987711373,0.001532887687178297,0.014344908086213026,0.0021461150113706307,0,1,0.0,0.1427693460584481,-0.005490771884171802,NORMAL,LEAD5,high_hurst,HOLD_STRATEGIC,0.0840336134453781,NONE,NONE,NONE,NONE,NONE,NONE,NORMAL,0,0,0,0,0,0,0.0,0.0
2017-08-30,0.0840336134453781,0.1182795698924731,0.509546308704066,-0.22945057936345647,0,0.006159516930705931,0.0047904897438385795,0.7996922952007718,0.0075039421288929375,0.005928903712655531,-0.005779016049858532,0,1,0.0,0.1360858164596958,-0.016345427258624107,NORMAL,LEAD5,high_hurst,HOLD_STRATEGIC,0.0840336134453781,NONE,NONE,NONE,NONE,NONE,NONE,NORMAL,0,0,0,0,0,0,0.0,0.0
2017-08-29,0.0840336134453781,0.1182795698924731,0.7120361236521511,-0.06704867914952517,0,0.006049926520341261,0.004759073335609751,0.8013809912076237,0.012183698802963772,-0.002403672719701655,-0.009986811869557521,0,1,0.0,0.18992562728945256,0.015494600497443181,NORMAL,LEAD5,high_hurst,HOLD_STRATEGIC,0.0840336134453781,NONE,NONE,NONE,NONE,NONE,NONE,NORMAL,0,0,0,0,0,0,0.0,0.0
2017-08-28,0.0840336134453781,0.1182795698924731,0.6783020458305798,-0.07040963818372792,0,0.006070107873773557,0.004777505226992246,0.803130228718636,0.013313372984892324,0.006875318950869014,-0.008915052025111114,0,1,0.0,0.13672716152022066,-0.019168422734199164,NORMAL,LEAD5,high_hurst,HOLD_STRATEGIC,0.0840336134453781,NONE,NONE,NONE,NONE,NONE,NONE,NORMAL,0,0,0,0,0,0,0.0,0.0
2017-08-25,0.0840336134453781,0.1182795698924731,0.7614760911379522,-0.05119479013989936,0,0.006069147567197378,0.004778811171487094,0.8047821309237527,0.013353673198941651,0.007622463115378508,-0.009517487037699612,0,1,0.01680672268907562,0.13656208240065687,-0.0031557754420270755,NORMAL,LEAD5,high_hurst,HOLD_STRATEGIC,0.0840336134453781,NONE,NONE,NONE,NONE,NONE,NONE,NORMAL,0,0,0,0,0,0,0.0,0.0
2017-08-24,0.0840336134453781,0.1182795698924731,1.0336238710128631,0.13722777477921944,0,0.006034669458771279,0.004788321590810924,0.806274366952454,0.015653251321927963,0.003702578205371454,-0.012985208305751783,0,1,-0.001375095492742559,0.1702232054793071,-0.01886269210121075,NORMAL,LEAD5,high_hurst,HOLD_STRATEGIC,0.0840336134453781,NONE,NONE,NONE,NONE,NONE,NONE,NORMAL,0,0,0,0,0,0,0.0,0.0
2017-08-23,0.0840336134453781,0.1182795698924731,0.7099858823748351,-0.25238570162457585,0,0.00602207971099124,0.004881662220396458,0.8077237077954992,0.013353673198941651,-0.009637898137369816,-0.011599221048654074,0,1,0.01680672268907562,0.21781295275281634,0.04256808059155541,NORMAL,LEAD5,high_hurst|shortterm_watch_guard,SHORT_TERM_WATCH,0.0840336134453781,NONE,WATCH,WATCH,WATCH_NOISE,shortterm_watch_guard,high_hurst|shortterm_watch_guard,NORMAL,0,0,0,1,0,4,0.0,0.0
2017-08-22,0.0840336134453781,0.2222222222222222,0.5601705297153083,-0.3960720206341668,0,0.005980835830623076,0.004855508034809494,0.8088909019380748,0.009803590706799037,-0.00434065948468243,-0.008002496946753146,0,1,0.01680672268907562,0.11245262480223665,0.01748008818861081,NORMAL,LEAD5,high_hurst|shortterm_watch_guard,SHORT_TERM_WATCH,0.0840336134453781,NONE,WATCH,WATCH,WATCH_NOISE,shortterm_watch_guard,high_hurst|shortterm_watch_guard,NORMAL,0,0,0,0,0,3,0.0,0.0
2017-08-21,0.0840336134453781,0.1182795698924731,0.9980980321482991,0.005230765242485003,0,0.0054618536136779505,0.004673149163367803,0.8099360565034011,0.02005083604273583,-0.014764281647344224,-0.01588194218963135,0,1,0.0030136192407997616,0.23256927519121648,0.04094536448601845,NORMAL,LEAD5,high_hurst|shortterm_watch_guard,SHORT_TERM_WATCH,0.0840336134453781,NONE,WATCH,WATCH,WATCH_NOISE,shortterm_watch_guard,high_hurst|shortterm_watch_guard,NORMAL,0,0,0,1,0,2,0.0,0.0
2017-08-18,0.0,0.0,1.1801021659169129,0.21015731095379897,1,0.005451151107805382,0.004672512291808555,0.8112232973191507,0.02081745602362417,-0.00577570020984719,-0.016890830113187816,0,1,0.0,0.15234095961079225,0.015049940334936066,NORMAL,LEAD5,high_hurst|shortterm_watch_guard,SHORT_TERM_WATCH,0.0,NONE,WATCH,WATCH,WATCH_NOISE,shortterm_watch_guard,high_hurst|sentiment_factor|shortterm_watch_guard,NORMAL,0,0,0,0,0,1,0.0,0.0
2017-08-17,0.0909090909090909,0.2413793103448276,1.3635013098416997,0.26266290521075275,1,0.005448510681338634,0.004667309031238084,0.8124570332014561,0.01928442742660641,-0.0027487212288584972,-0.016228551009711767,0,1,0.001375095492742559,0.26453666598536085,-0.007176056434984179,NORMAL,LEAD5,high_hurst,HOLD_STRATEGIC,0.0909090909090909,NONE,NONE,NONE,NONE,NONE,NONE,NORMAL,0,0,0,0,0,0,0.0,0.0
2017-08-16,0.0,0.0,0.679340714125156,-0.5682898865507966,0,0.004193183063814494,0.0042198561083585774,0.8134571042672442,0.0037519358369866307,-0.0012536402643631428,-0.0002025018022946412,0,1,-0.013793103448275858,0.004972549795039263,0.0009945099590078527,NORMAL,LEAD5,high_hurst,HOLD_STRATEGIC,0.0,NONE,NONE,NONE,NONE,NONE,NONE,NORMAL,0,0,0,0,0,0,0.0,0.0
2017-08-15,0.0,0.0,0.7432941124970024,-0.5063852418766496,0,0.004350926490717959,0.004223426886485196,0.814064949129252,0.005486747323928287,-0.003033151294815517,0.0034599599087958843,0,1,0.0,0.025052183859182613,-0.0051643346987125275,NORMAL,LEAD5,high_hurst,HOLD_STRATEGIC,0.0,NONE,NONE,NONE,NONE,NONE,NONE,NORMAL,0,0,0,0,0,0,0.0,0.0
2017-08-14,0.0689655172413793,0.1034482758620689,0.8834859724347984,-0.23569836185952509,0,0.004350973556761567,0.0042280475671982645,0.8144961037675341,0.005365776226861629,-0.005365776226861629,0.004113523402003327,0,1,0.013793103448275858,0.02784245276112422,0.005568490552224844,NORMAL,LEAD5,high_hurst,HOLD_STRATEGIC,0.0689655172413793,NONE,NONE,NONE,NONE,NONE,NONE,NORMAL,0,0,0,0,0,0,0.0,0.0
2017-08-11,0.0,0.0,1.8345699142560785,0.9580903826424303,1,0.0037041559886377183,0.004090809491881982,0.8147217321239087,0.015129137174530682,-0.01329796320102028,-0.005864294483606147,0,1,0.0,0.07709125793611192,0.015418251587222384,NORMAL,LEAD5,high_hurst|shortterm_watch_guard,SHORT_TERM_WATCH,0.0,NONE,WATCH,WATCH,WATCH_NOISE,shortterm_watch_guard,high_hurst|sentiment_factor|shortterm_watch_guard,NORMAL,0,0,0,2,0,2,0.0,0.0
2017-08-10,0.0840336134453781,0.1182795698924731,2.0974622900667272,1.6554289552893473,1,0.0038497556139514195,0.004162209719870628,0.8154319702416305,0.016581283523771417,-0.012957728909800292,-0.002700286940765295,0,1,0.01680672268907562,0.30041694816028175,0.055970427771743284,NORMAL,LEAD5,high_hurst|shortterm_watch_guard,SHORT_TERM_WATCH,0.0840336134453781,NONE,WATCH,WATCH,WATCH_NOISE,shortterm_watch_guard,high_hurst|sentiment_factor|shortterm_watch_guard,NORMAL,0,0,0,1,0,1,0.0,0.0
2017-08-09,0.0689655172413793,0.1034482758620689,0.6895844826136529,0.7054808918936379,1,0.0020098445210016747,0.0037115638841743698,0.8160941764945634,0.0025014314678301064,-0.0007678111869079407,0.013278283054232842,0,1,0.013793103448275858,0.0,0.0,NORMAL,LEAD5,high_hurst,HOLD_STRATEGIC,0.0689655172413793,NONE,NONE,NONE,NONE,NONE,NONE,NORMAL,0,0,0,0,0,0,0.0,0.0
2017-08-08,0.0,0.0,0.09081901210036045,0.37696547583021545,0,0.0025168980630471023,0.004421534925345778,0.8167860785304787,0.0024610607988614364,-0.00024255088113755985,0.02093360147617962,0,1,0.0,0.05087385735274525,0.01017477147054905,NORMAL,LEAD5,high_hurst,HOLD_STRATEGIC,0.0,NONE,NONE,NONE,NONE,NONE,NONE,NORMAL,0,0,0,0,0,0,0.0,0.0
2017-08-07,0.0,0.0,-0.3300380409685784,0.12557722936117366,0,0.0024185055229439174,0.004407987528801062,0.8173074041539774,0.0,0.004457667550523903,0.022692673836108845,0,1,0.0,0.0,-0.0001881185226721677,NORMAL,LEAD5,high_hurst,HOLD_STRATEGIC,0.0,NONE,NONE,NONE,NONE,NONE,NONE,NORMAL,0,0,0,0,0,0,0.0,0.0
2017-08-04,0.0,0.0,-0.33766106992526307,0.1953687110600349,0,0.00241232932951116,0.004450795140742061,0.8178795858177175,0.00012111076355703077,0.002025037873533808,0.021891146777386794,0,1,0.0,0.0,-0.001919955032747081,NORMAL,LEAD5,high_hurst,HOLD_STRATEGIC,0.0,NONE,NONE,NONE,NONE,NONE,NONE,NORMAL,0,0,0,0,0,0,0.0,0.0
2017-08-03,0.0,0.0,-0.19218643022009704,0.43580769997511926,0,0.0026958545879884593,0.004458295202499745,0.8182088132645975,0.0019395366511095746,-0.0009706038231007685,0.02664741925135017,0,1,0.0,0.02056480930156535,0.0028850961268865405,NORMAL,LEAD5,high_hurst,HOLD_STRATEGIC,0.0,NONE,NONE,NONE,NONE,NONE,NONE,NORMAL,0,0,0,0,0,0,0.0,0.0
2017-08-02,0.0,0.0,-0.661665789635697,0.14346214700538973,0,0.003512062820303935,0.004459314341749608,0.8182693514036926,0.0,4.0160135186484425e-05,0.019236212774262018,0,1,0.0,0.0,-0.005546676509985655,NORMAL,LEAD5,high_hurst,HOLD_STRATEGIC,0.0,NONE,NONE,NONE,NONE,NONE,NONE,NORMAL,0,0,0,0,0,0,0.0,0.0
2017-08-01,0.0,0.0,-0.7565250208991252,0.18206125544955976,0,0.0035228306718687757,0.004461906777664512,0.8182521187597899,0.00044479643575623395,-0.0004041586698987354,0.02109727975407094,0,1,0.0,0.0,-0.0002241593347700889,NORMAL,LEAD5,high_hurst,HOLD_STRATEGIC,0.0,NONE,NONE,NONE,NONE,NONE,NONE,NORMAL,0,0,0,0,0,0,0.0,0.0
2017-07-31,0.0,0.0,-0.7171105942463076,0.3803388008185318,0,0.0035188410862330736,0.004461298787955545,0.8185395167938833,0.0026675787510960225,-0.00020257055883510233,0.018826592784921603,0,1,0.0,0.0009405926133608385,-0.009663153519968756,NORMAL,LEAD5,high_hurst,HOLD_STRATEGIC,0.0,NONE,NONE,NONE,NONE,NONE,NONE,NORMAL,0,0,0,0,0,0,0.0,0.0
2017-07-28,0.0,0.0,-0.8124828159748547,0.4168640460352109,0,0.0035042184937079035,0.00445985635788748,0.8185309752298032,0.0021017372681607638,0.00012152694145450837,0.021133124376078394,0,1,0.0,0.009599775163735405,-0.014662804414455059,NORMAL,LEAD5,high_hurst,HOLD_STRATEGIC,0.0,NONE,NONE,NONE,NONE,NONE,NONE,NORMAL,0,0,0,0,0,0,0.0,0.0
