date,p_structural,p_shock,early_score_raw,early_score,early_score_q20_thr,early_score_q10_thr,early_struct_level,tactical_level,risk_regime,structural_damage_score,breadth_damage_score,new_lows_ratio_proxy,ad_spread_proxy,sector_sync_breakdown_proxy,leadership_failure_proxy,regime_context,regime_multiplier,ibb_risk_score,ibb_risk_weight,composite_risk_score,shock_high_cut_eff,shock_risk_cut_eff,hard_gate_reason,hard_force_crisis,hard_trend_cap_flag,hard_credit_high_flag,hard_max_allocation,recovery_active,recovery_cap,recovery_days,recovery_floor,base_allocation,shock_modifier,tactical_multiplier,tactical_gate_on,early_struct_multiplier,final_allocation,allocation_action,guardrail_applied,guardrail_cap,guardrail_reasons,drawdown_252,ret5d,vol20,hurst_100
2026-01-30,0.0020356039244734726,0.09025916137744679,-0.8407381727914208,0.30137933905575415,0.6601636641402965,0.8212879579867541,0,0,LOW,0.36813112948242316,0.5013374756612616,0.4282553659373949,-0.8944659079846808,0.2553097290624183,0.40972988432466595,NEUTRAL,1.0,0.0,0.05,0.03291384903301413,0.4,0.2,NONE,0,0,0,1.0,0,1.0,0,0.0,1.0,1.0,1.0,0,1.0,1.0,FULL_RISK_ON,0,,,0.0050612080413461324,0.003975436809222188,0.006462049860477793,0.7928786036838149
2026-01-29,0.0023998127738741612,0.06067067526326438,-0.9105532517713851,0.2868866381654212,0.6602325207172575,0.8213154090974419,0,0,LOW,0.4487529228029136,0.6275677630350729,0.4695459125196239,-1.0,0.504854757387579,0.5358703822330888,BULL,0.6,0.0,0.05,0.013676768787096442,0.4,0.2,BREADTH_CRISIS,1,0,0,0.3,0,0.3,0,0.0,1.0,1.0,1.0,0,1.0,0.3,REDUCE_TO_15_35,0,,,0.002084878614202035,0.007344186626658145,0.006408674859953907,0.7921138378570293
2026-01-28,0.0024262438759878415,0.07986174752405294,-0.9194747320468033,0.2850649333531343,0.6603013772942186,0.8213428602081299,0,0,LOW,0.32834778557633004,0.43284837189249803,0.3608308331390215,-0.6706938717372438,0.2691880155445534,0.375796412438714,BULL,0.6,0.0,0.05,0.017717202091686375,0.4,0.2,NONE,0,0,0,1.0,0,1.0,0,0.0,1.0,1.0,1.0,0,1.0,1.0,FULL_RISK_ON,0,,,0.0001006589961060067,0.014619139391860436,0.006376935834081284,0.7912673213530945
2026-01-27,0.00249389216466496,0.07991699526663133,-0.9611147680012354,0.2766550552740499,0.6603702338711797,0.8213703113188177,0,0,LOW,0.2839130918091861,0.36062276731516246,0.327671038254142,-0.5465375756418215,0.177077474197666,0.3156279104406572,BULL,0.6,0.0,0.05,0.017755186950211912,0.4,0.2,NONE,0,0,0,1.0,0,1.0,0,0.0,1.0,1.0,1.0,0,1.0,1.0,FULL_RISK_ON,0,,,0.0,0.026432262895610847,0.006647005142507038,0.7896176843519311
2026-01-26,0.0030281108026525526,0.08064767208634421,-0.609055748330942,0.3522746245681392,0.6604390904481404,0.8213977624295057,0,0,LOW,0.3969734389430443,0.5400850935371477,0.370497436240005,-0.7263151515546789,0.5103868948533372,0.5075267500930165,NEUTRAL,1.0,0.0,0.05,0.030194957251944633,0.4,0.2,NONE,0,0,0,1.0,0,1.0,0,0.0,1.0,1.0,1.0,0,1.0,1.0,FULL_RISK_ON,0,,,0.003495587734704042,0.0015470135120789763,0.006610759054718466,0.7875642187686672
2026-01-23,0.004949949134013329,0.024643275020399407,-0.4870602808582442,0.3805863344645503,0.6605079470251015,0.8214252135401936,0,0,LOW,0.13299154137387342,0.08966887660886544,0.13342387735397448,0.2260056641172977,0.025996349053091252,0.19925528002839604,NEUTRAL,1.0,0.0,0.05,0.011842613194248456,0.4,0.2,NONE,0,0,0,1.0,0,1.0,0,0.0,1.0,1.0,1.0,1,1.0,1.0,FULL_RISK_ON,0,,,0.008530400058791021,-0.003513276422132172,0.006569426518322513,0.7851328024670469
2026-01-22,0.0034336319507356082,0.024097407828683456,-0.4344181505470964,0.3930718129964088,0.6607776534691672,0.8214526646508814,0,0,LOW,0.20467154014424505,0.22705857509030863,0.236121853912631,-0.18755580763851037,0.10587255304315742,0.24327672037335418,NEUTRAL,1.0,0.0,0.05,0.010665953508017354,0.4,0.2,NONE,0,0,0,1.0,0,1.0,0,0.0,1.0,1.0,1.0,1,1.0,1.0,FULL_RISK_ON,0,,,0.008890029510511432,-0.00470936353232243,0.006568682557724428,0.7824899740600125
2026-01-21,0.004040783513794082,0.03403878081130509,-0.3787660465388909,0.4064245460768933,0.6611477848467856,0.8214801157615693,0,0,LOW,0.3037889978044726,0.3737230329446639,0.29955361826496696,-0.44959104656692883,0.30114384830937596,0.3528687930652054,NEUTRAL,1.0,0.0,0.05,0.014540082567922934,0.4,0.2,NONE,0,0,0,1.0,0,1.0,0,0.0,1.0,1.0,1.0,1,1.0,1.0,FULL_RISK_ON,0,,,0.014039860043034369,-0.0071846008499090175,0.006449454211198757,0.7801963789197245
2026-01-20,0.015782565149039054,0.03494931351939722,-0.15723704167970673,0.46077152834792884,0.661517916224404,0.8215075668722571,0,2,LOW,0.34351769522360737,0.2719890312350408,0.22658587899109947,-0.15644143787710396,0.25156113377375405,0.31277458061105645,BEAR,1.5,0.0,0.05,0.03373639061799662,0.4,0.2,NONE,0,0,0,1.0,0,1.0,0,0.0,1.0,1.0,0.8,1,1.0,0.8,LIGHT_REDUCE,0,,,0.02528907982887052,-0.02333626704184355,0.005897292888824221,0.7774000172797079
2026-01-16,0.00525519271221826,0.022290082199694344,-0.5052790140455314,0.37630088525595357,0.6618880476020212,0.821535017982945,0,0,LOW,0.17256837051387675,0.15502173164711242,0.15003315393409447,0.1523879966228768,0.1697402796693524,0.26063682350406675,NEUTRAL,1.0,0.04797042544703525,0.05,0.013615925305186651,0.4,0.2,NONE,0,0,0,1.0,0,1.0,0,0.0,1.0,1.0,1.0,0,1.0,1.0,FULL_RISK_ON,0,,,0.005034812324086868,-0.0034723214578579187,0.003999085658535051,0.7793982243759053
