date,spy_ret1d,strategy_ret1d,final_allocation,applied_allocation,p_structural,p_shock,risk_regime,tactical_gate_on,early_struct_level,split_test_year
2020-07-06,0.005652491882213173,0.005652491882213173,1.0,1.0,0.0920016823277693,4.535343218236197e-08,LOW,0,0,2020
2020-07-07,0.01018656519782768,0.01018656519782768,1.0,1.0,0.09272187108431192,4.5353431152973175e-08,LOW,0,0,2020
2020-07-08,0.010186097423267038,0.010186097423267038,1.0,1.0,0.09274454190975094,4.535343218236197e-08,LOW,0,0,2020
2020-07-09,-0.003295949064960224,-0.003295949064960224,1.0,1.0,0.10399413289459142,4.5353432182361814e-08,LOW,0,0,2020
2020-07-10,-0.00721280097724597,-0.00721280097724597,1.0,1.0,0.08708843126669108,4.5353432182361814e-08,LOW,0,0,2020
2020-07-13,-0.012606150491454193,-0.012606150491454193,1.0,1.0,0.08837551162525135,4.5353431152973175e-08,LOW,0,0,2020
2020-07-14,0.01741298528092261,0.01741298528092261,1.0,1.0,0.030379228974466096,4.535343218236197e-08,LOW,0,0,2020
2020-07-15,0.010851504994636718,0.010851504994636718,1.0,1.0,0.024624086651749356,4.5353432448964435e-08,LOW,0,0,2020
2020-07-16,-0.009162550612468845,-0.009162550612468845,1.0,1.0,0.026705613583808976,4.535343218236197e-08,LOW,0,0,2020
2020-07-17,0.01618430555718331,0.01618430555718331,1.0,1.0,0.027987568649638445,4.5353432182361814e-08,LOW,0,0,2020
2020-07-20,0.011224696975380644,0.011224696975380644,1.0,1.0,0.02809970352715721,4.5353432182361814e-08,LOW,0,0,2020
2020-07-21,-0.006831406124211736,-0.006831406124211736,1.0,1.0,0.031380852422120124,4.5353432182361814e-08,LOW,0,0,2020
2020-07-22,0.005314370963648507,0.005314370963648507,1.0,1.0,0.0034280163776065856,4.5353432182361814e-08,LOW,0,0,2020
2020-07-23,-0.008766828389967563,-0.008766828389967563,1.0,1.0,0.033013728792775816,4.5353432182361814e-08,LOW,0,0,2020
2020-07-24,-0.007196019640389073,-0.007196019640389073,1.0,1.0,0.003235705331996706,4.5353432182361814e-08,LOW,0,0,2020
2020-07-27,0.02562040844471114,0.02562040844471114,1.0,1.0,0.004040880483030348,4.5353432182361814e-08,LOW,0,0,2020
2020-07-28,-0.007408362764062093,-0.007408362764062093,1.0,1.0,0.004131943476873347,4.5353432182361814e-08,LOW,0,0,2020
2020-07-29,-0.004967818984769057,-0.004967818984769057,1.0,1.0,0.0030485419409312688,4.5353432182361814e-08,LOW,0,0,2020
2020-07-30,-0.0017041404626089163,-0.0017041404626089163,1.0,1.0,0.003460771902289024,4.5353432182361814e-08,LOW,0,0,2020
2020-07-31,-0.0049863439865025505,-0.0049863439865025505,1.0,1.0,0.0026197445553287255,4.5353432448964435e-08,LOW,0,0,2020
2020-08-03,0.018304238873054768,0.018304238873054768,1.0,1.0,0.002625172564571073,4.5353432182361814e-08,LOW,0,0,2020
2020-08-04,0.009532634720659239,0.009532634720659239,1.0,1.0,0.0031094639737404696,4.5353432182361814e-08,LOW,0,0,2020
2020-08-05,0.004644051503076119,0.004644051503076119,1.0,1.0,0.002851738866230529,4.5353432182361814e-08,LOW,0,0,2020
2020-08-06,0.0024364783768118237,0.0024364783768118237,1.0,1.0,0.0026693595732864735,4.5353432182361814e-08,LOW,0,0,2020
2020-08-07,-0.01010182287974637,-0.01010182287974637,1.0,1.0,0.0027615981679071293,4.5353432182361814e-08,LOW,0,0,2020
2020-08-10,-0.004887608249721009,-0.004887608249721009,1.0,1.0,0.002905056030200824,4.5353432182361814e-08,LOW,0,0,2020
2020-08-11,-0.04364559845264471,-0.04364559845264471,1.0,1.0,0.0030564570474399737,4.535343241573361e-08,LOW,0,0,2020
2020-08-12,0.003467849455183636,0.003467849455183636,1.0,1.0,0.0026620381016862105,4.5353432182361814e-08,LOW,0,0,2020
2020-08-13,0.015812001383459506,0.015812001383459506,1.0,1.0,0.0028221534119853282,4.5353432182361814e-08,LOW,0,0,2020
2020-08-14,-0.005852782229964437,-0.005852782229964437,1.0,1.0,0.0025713965677670015,4.5353432182361814e-08,LOW,0,0,2020
2020-08-17,0.027789427452888482,0.027789427452888482,1.0,1.0,0.0028455222204220912,4.5353432182361814e-08,LOW,0,0,2020
2020-08-18,-0.0007388581450593623,-0.0007388581450593623,1.0,1.0,0.0027713398226509745,4.5353432182361814e-08,LOW,0,0,2020
2020-08-19,-0.01918448127576433,-0.01918448127576433,1.0,1.0,0.002814224625229091,4.535343218236197e-08,LOW,0,0,2020
2020-08-20,0.0037418054477129647,0.0037418054477129647,1.0,1.0,0.0026350511279302773,4.5353432182361814e-08,LOW,0,0,2020
