window_start,window_end,n_days,strategy_cagr,benchmark_cagr,strategy_sharpe,benchmark_sharpe,strategy_calmar,benchmark_calmar,strategy_mdd,benchmark_mdd,cagr_impact,dd_reduction,sharpe_diff,calmar_diff
2016-12-01,2021-11-30,1258,0.1530765235606628,0.1778414905438439,1.2401554260256507,0.9675191797649629,0.8578032035034816,0.5274493496834695,-0.17845179749324813,-0.3371726416016426,0.02476496698318109,0.4707405777480531,0.2726362462606877,0.33035385382001214
2017-01-01,2021-12-31,1259,0.15430212407748112,0.18422763473352788,1.2453096352058788,0.9923212146649006,0.8646711674805124,0.5463896295334256,-0.17845179749324613,-0.3371726416016424,0.02992551065604676,0.47074057774805866,0.25298842054097814,0.3182815379470868
2017-02-01,2022-01-31,1259,0.14442547452755994,0.16730236063376203,1.1702856931722523,0.9107839787697491,0.8093248516200924,0.49619197998698783,-0.1784517974932458,-0.3371726416016425,0.022876886106202088,0.4707405777480599,0.25950171440250314,0.31313287163310455
2017-03-01,2022-02-28,1259,0.12893167503386094,0.15140665946605658,1.0515113659486008,0.8323075009255294,0.7225014084755281,0.4490478786975195,-0.17845179749324735,-0.3371726416016425,0.022474984432195644,0.4707405777480552,0.21920386502307143,0.27345352977800863
2017-04-01,2022-03-31,1259,0.13298815126750108,0.15965255171769654,1.0680496283014524,0.8620078449589503,0.7452329039864894,0.4735038731473362,-0.17845179749324658,-0.33717264160164284,0.02666440045019547,0.470740577748058,0.20604178334250212,0.27172903083915323
2017-05-01,2022-04-30,1260,0.1209285350896121,0.13616093551193997,0.9757321999096363,0.7495584943444288,0.6776537798347947,0.40383150562022563,-0.1784517974932469,-0.3371726416016424,0.015232400422327874,0.47074057774805633,0.22617370556520755,0.27382227421456906
2017-06-01,2022-05-31,1259,0.11679859307520446,0.1336047753136662,0.9448377052144804,0.7279689909356502,0.6545106001502987,0.3962503442717498,-0.1784517974932467,-0.3371726416016426,0.016806182238461753,0.47074057774805733,0.21686871427883025,0.2582602558785489
2017-07-01,2022-06-30,1258,0.10869581523110838,0.11292318311160465,0.8810681723625553,0.6283313411591441,0.6091046252152295,0.3349120574409455,-0.17845179749324724,-0.3371726416016426,0.004227367880496269,0.4707405777480558,0.25273683120341117,0.27419256777428397
2017-08-01,2022-07-31,1258,0.11858820655014402,0.1281291331647676,0.9446707530142813,0.6917017844432112,0.6645391540795863,0.38001046750450085,-0.17845179749324702,-0.3371726416016423,0.00954092661462358,0.4707405777480559,0.2529689685710701,0.28452868657508545
2017-09-01,2022-08-31,1258,0.11234235441718754,0.11810153597180273,0.8902688744135823,0.6453814976256165,0.6295389342964628,0.35027022183886275,-0.17845179749324802,-0.3371726416016426,0.005759181554615189,0.47074057774805345,0.2448873767879658,0.27926871245760004
2017-10-01,2022-09-30,1259,0.095654567907689,0.09213527485466977,0.7659704875676376,0.5278702474283072,0.5360246814622809,0.27325845423581036,-0.1784517974932467,-0.33717264160164273,-0.0035192930530192346,0.47074057774805755,0.2381002401393304,0.26276622722647053
2017-11-01,2022-10-31,1258,0.09707678633196681,0.1042786487792986,0.7667717227397264,0.5755945863177357,0.5439944438533316,0.3092737544895477,-0.17845179749324802,-0.3371726416016424,0.007201862447331786,0.4707405777480531,0.19117713642199063,0.23472068936378393
2017-12-01,2022-11-30,1258,0.10072261387925363,0.10959900243864884,0.7776467153615925,0.5932615986535926,0.5644247650857366,0.3250530704924045,-0.17845179749324747,-0.3371726416016422,0.00887638855939521,0.47074057774805433,0.18438511670799984,0.23937169459333207
