date,p_structural,p_shock,tactical_level,risk_regime,structural_damage_score,breadth_damage_score,new_lows_ratio_proxy,ad_spread_proxy,sector_sync_breakdown_proxy,leadership_failure_proxy,regime_context,regime_multiplier,composite_risk_score,base_allocation,shock_modifier,tactical_multiplier,final_allocation,allocation_action,drawdown_252,ret5d,vol20,hurst_100
2025-11-13,0.0092057482627591,0.0032269282809002,2,LOW,0.22913665378426856,0.1375,0.25,0.3,0.1,0.2,NEUTRAL,1.0,0.007113161269108485,1.0,1.0,0.8,0.8,LIGHT_REDUCE,0.0223308950373839,0.0025808212107338,0.008361221242228,0.8214612206341718
2025-11-12,0.0075303422309658,0.0032269282809002,0,LOW,0.18383333333333332,0.1625,0.25,0.25,0.15,0.25,BULL,0.6,0.0036144884090657035,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0058336361945128,0.0085598536566504,0.0075293229328215,0.8203239456369068
2025-11-11,0.007199249133107,0.0032269282809002,0,LOW,0.19133333333333333,0.175,0.25,0.2,0.15,0.3,BULL,0.6,0.003485362100900772,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0063864895742877,0.0114921865098511,0.0075570304781152,0.8189318519041973
2025-11-10,0.0070207727716331,0.0032269282809002,0,LOW,0.20466666666666664,0.2083333333333333,0.25,0.1,0.15,0.35,NEUTRAL,1.0,0.0056929271998765844,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0086558778920718,-0.0027804707360785,0.0075802449883209,0.8175510681981373
2025-11-07,0.0096414019710553,0.003373363408567,1,LOW,0.25533708048479775,0.23125,0.25,0.0499999999999999,0.15,0.4,BEAR,1.5,0.011171382711276592,1.0,1.0,0.9,0.9,LIGHT_REDUCE,0.0238874872128165,-0.016259634311702,0.0075547513173516,0.8154230411711838
2025-11-06,0.0124714063860873,0.003373363408567,2,LOW,0.31020214907889415,0.24375,0.3,0.0499999999999999,0.15,0.4,NEUTRAL,1.0,0.009287091343955195,1.0,1.0,0.8,0.8,LIGHT_REDUCE,0.0248475890632279,-0.0140034878153826,0.0098735165601195,0.8128227245435595
2025-11-05,0.0087809749556899,0.003373363408567,1,LOW,0.23124530146118513,0.2083333333333333,0.25,0.1,0.15,0.35,NEUTRAL,1.0,0.006888310914196885,1.0,1.0,0.9,0.9,LIGHT_REDUCE,0.0142713293603526,-0.0142713293603526,0.0095771348454228,0.8106184352786346
2025-11-04,0.0099865260026209,0.0032430794380058,2,LOW,0.28111720625323755,0.1854166666666666,0.25,0.15,0.15,0.3,BEAR,1.5,0.011439479557508424,1.0,1.0,0.8,0.8,LIGHT_REDUCE,0.0176755454195144,-0.0172037093894611,0.0096356611995235,0.8084345386515502
2025-11-03,0.0077254951327463,0.0031184023975302,0,LOW,0.17533333333333334,0.15,0.25,0.2,0.1,0.25,NEUTRAL,1.0,0.006113012675420665,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.005891789103178,-0.0027726720681228,0.0092504668699733,0.8062374150477113
2025-10-31,0.0077237038190612,0.0031184023975302,0,LOW,0.17533333333333334,0.15,0.25,0.25,0.1,0.25,BULL,0.6,0.0036671089929152098,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0077539289503257,0.0071022643817577,0.0092677807029965,0.8055771380242448
2025-10-30,0.0078427315910196,0.0031184023975302,2,LOW,0.2262482704259271,0.15,0.25,0.3,0.1,0.25,BULL,0.6,0.003713529823978986,1.0,1.0,0.8,0.8,LIGHT_REDUCE,0.0109981131919205,0.0120131879067113,0.0092542493623857,0.8049051948913285
2025-10-29,0.0056968627512782,0.0031184023975302,0,LOW,0.16583333333333333,0.1375,0.2,0.3,0.1,0.25,BULL,0.6,0.0028766409764798394,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0,0.0293351361261344,0.0088259609802248,0.8047025632572414
2025-10-28,0.0056990169978362,0.0031184023975302,0,LOW,0.16583333333333333,0.1375,0.2,0.3,0.1,0.25,BULL,0.6,0.00287748113263746,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0,0.0234921340129969,0.0088335599444387,0.8046856205388901
2025-10-27,0.0056774201739089,0.0031184023975302,0,LOW,0.16583333333333333,0.1375,0.2,0.25,0.1,0.25,BULL,0.6,0.0028690583713058128,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0,0.0207656726251403,0.0088441567510793,0.8059226977553774
2025-10-24,0.0056795466311326,0.0031184023975302,0,LOW,0.16583333333333333,0.1375,0.2,0.2,0.1,0.25,BULL,0.6,0.002869887689623056,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0,0.0193560555245153,0.0085232347326511,0.8071200744219413
2025-10-23,0.0057804094131504,0.0031184023975302,0,LOW,0.16874999999999998,0.1479166666666666,0.2,0.15,0.1,0.25,BULL,0.6,0.002909224174609998,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0020055943468304,0.0168321328031029,0.0084348993890454,0.8076273766797972
2025-10-22,0.0080424238648942,0.0031184023975302,2,LOW,0.2311666666666667,0.1708333333333333,0.25,0.0999999999999999,0.1,0.25,NEUTRAL,1.0,0.0063190163513168,1.0,1.0,0.8,0.8,LIGHT_REDUCE,0.0078887802306765,0.0039538794134421,0.0084443525900383,0.8074209270105721
2025-10-21,0.0079324835860573,0.0031184023975302,0,LOW,0.18116666666666667,0.1708333333333333,0.25,0.0999999999999999,0.1,0.25,BULL,0.6,0.003748533102043689,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.002703955521696,0.0136809819920669,0.0083840492866229,0.8072185801717282
2025-10-20,0.0109633516002408,0.0031184023975302,0,LOW,0.19358333333333333,0.19375,0.3,0.0499999999999999,0.1,0.25,BULL,0.6,0.004930571627575254,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0026890406587348,0.0124577587685696,0.0084935044113908,0.8070092828456071
2025-10-17,0.0115179804042765,0.0031184023975302,0,LOW,0.1962918456942837,0.19375,0.3,0.0499999999999999,0.1,0.25,BULL,0.6,0.005146876861149177,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0129547407574004,0.0174114825529891,0.0082316164279165,0.8067420454973921
2025-10-16,0.0149492629531513,0.0032430794380058,2,LOW,0.2774914119359666,0.19375,0.3,0.0499999999999999,0.1,0.25,BEAR,1.5,0.01627814808427556,1.0,1.0,0.8,0.8,LIGHT_REDUCE,0.0185258967947868,-0.0156742754030322,0.0082073057640116,0.8061514109429424
2025-10-15,0.0103407490564844,0.0032430794380058,1,LOW,0.18342551033916793,0.1458333333333333,0.25,0.0999999999999999,0.05,0.2,NEUTRAL,1.0,0.00785656469001689,1.0,1.0,0.9,0.9,LIGHT_REDUCE,0.0117960196050417,-0.0117960196050417,0.0081032455507646,0.8055343111833563
2025-10-14,0.0106571723644194,0.0032430794380058,1,LOW,0.17043192835184898,0.1124999999999999,0.25,0.1999999999999999,0.05,0.15,NEUTRAL,1.0,0.00806223984017464,1.0,1.0,0.9,0.9,LIGHT_REDUCE,0.0161638008454726,-0.010297090826886,0.0080618713148124,0.8046869181921941
2025-10-13,0.0114214824265088,0.0032430794380058,1,LOW,0.1678501685046273,0.1,0.25,0.3,0.05,0.1,NEUTRAL,1.0,0.008559041380532751,1.0,1.0,0.9,0.9,LIGHT_REDUCE,0.0149604260485171,-0.0127603637109718,0.0080635263853408,0.8039541236832879
2025-10-10,0.0170194432677167,0.0032430794380058,2,LOW,0.2519416235439771,0.0875,0.25,0.4,0.05,0.05,BEAR,1.5,0.01829657389097683,1.0,1.0,0.8,0.8,LIGHT_REDUCE,0.029846550615088,-0.024192753150969,0.0073624090452717,0.8035126675675239
2025-10-09,0.0076105172039206,0.0031184023975302,0,LOW,0.11133333333333334,0.05,0.2,0.5,0.0,0.0,NEUTRAL,1.0,0.00603827702168396,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0028970302416125,0.002898960099142,0.0037904354395379,0.8039498815954178
