date,p_structural,p_shock,tactical_level,risk_regime,structural_damage_score,breadth_damage_score,new_lows_ratio_proxy,ad_spread_proxy,sector_sync_breakdown_proxy,leadership_failure_proxy,regime_context,regime_multiplier,composite_risk_score,shock_high_cut_eff,shock_risk_cut_eff,hard_gate_reason,hard_force_crisis,hard_trend_cap_flag,hard_credit_high_flag,hard_max_allocation,recovery_active,recovery_cap,recovery_days,base_allocation,shock_modifier,tactical_multiplier,final_allocation,allocation_action,drawdown_252,ret5d,vol20,hurst_100
2025-12-05,0.0061294127159216,0.0394202581613026,0,LOW,0.25886318932845925,0.3094533484488014,0.2264996301943039,-0.1602930573537369,0.3401373003650943,0.3709322487743601,NEUTRAL,1.0,0.017781208621804948,0.4,0.2,NONE,0,0,0,1.0,0,1.0,38,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0024731461355878,0.0033655586861458,0.0086634327912498,0.8143929131592594
2025-12-04,0.0079111265200076,0.0398986134431751,0,LOW,0.12096852527253535,0.0722044605798853,0.105625280642875,0.3211686021853606,0.0043752182777916,0.1788173433988747,BULL,0.6,0.011464048165869734,0.4,0.2,NONE,0,0,0,1.0,0,1.0,38,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.004364317909573,0.0069297056516535,0.0086615231473982,0.8157566749736497
2025-12-03,0.00654177596641,0.0393572982830551,0,LOW,0.14704518044610176,0.1184081840247574,0.1542059077361794,0.1348324606885604,0.0421601504614728,0.2229603951418445,BULL,0.6,0.01081632526634147,0.4,0.2,NONE,0,0,0,1.0,0,1.0,38,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0050917190703335,0.0061940531937612,0.0090556452570364,0.8169389292756969
2025-12-02,0.0062585523859401,0.0391465793869228,0,LOW,0.19137925028704256,0.2013227484849763,0.1941117062819714,-0.0120037139135819,0.1510597421668796,0.2834497838964027,BULL,0.6,0.010661617101770425,0.4,0.2,NONE,0,0,0,1.0,0,1.0,38,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0085249670563327,0.0096441951641361,0.0090556917669784,0.8177838816795611
2025-12-01,0.0067618239790331,0.0474074956381168,0,LOW,0.14682332735875672,0.1168903872665857,0.1551808320859649,0.1394300918210498,0.0429184249557505,0.2189873685421688,BULL,0.6,0.012592685435827438,0.4,0.2,NONE,0,0,0,1.0,0,1.0,38,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0103579859216528,0.0172566538559557,0.0094578573887178,0.8183186812124292
2025-11-28,0.0030297272765189,0.0412852234916805,0,LOW,0.291589696890433,0.3729662167832904,0.3432789286555059,-0.5823317529574952,0.1892169445098379,0.3074258665032385,BULL,0.6,0.009851490571095274,0.4,0.2,NONE,0,0,0,1.0,0,1.0,38,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.005819120231094,0.0369633808594229,0.0094103145897751,0.819131975715865
2025-11-26,0.0040265320167298,0.1049350838884161,0,LOW,0.39585428529065425,0.5354892188272482,0.3740264360523885,-0.7066725993480311,0.513131672485191,0.4992382673147209,BULL,0.6,0.023606715103092004,0.4,0.2,NONE,0,0,0,1.0,0,1.0,38,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0112162979181525,0.0257307812938096,0.0096775570302528,0.8205754376349305
2025-11-25,0.0099000523760005,0.0525271966143912,0,LOW,0.12471623264089601,0.067184229720607,0.0935763293776054,0.3691850817332404,0.0,0.1751605895048225,BULL,0.6,0.014891731715662347,0.4,0.2,NONE,0,0,0,1.0,0,1.0,38,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0179956090546483,0.0226335446836185,0.0095236134017255,0.8210198645656106
2025-11-24,0.0079211409637575,0.0483059644821841,0,LOW,0.20912404016753716,0.2052109878620861,0.1993913934375169,-0.0408218661404483,0.1492408841057416,0.2715267854547122,NEUTRAL,1.0,0.022055829195206808,0.4,0.2,NONE,0,0,0,1.0,0,1.0,38,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.02714618741783,0.0045968417921127,0.0092572709504578,0.8210232200240719
2025-11-21,0.016665429412114,0.0637368582584008,1,LOW,0.212571350055016,0.1259366692140666,0.1634231599436804,0.091887853750137,0.0493291244006403,0.2009009373037266,BEAR,1.5,0.049710644262471564,0.4,0.2,NONE,0,0,0,1.0,0,1.0,38,1.0,1.0,0.9,0.9,LIGHT_REDUCE,0.0412574849606158,-0.0191984360723719,0.0090131066395485,0.8210106947903439
