date,vol20,hurst_100,drawdown_252,ret5d,external_event,is_trading_day
2018-06-07,0.005986620071660094,0.7465060990270622,0.028261062355323552,0.02373262610690552,0,1
2018-06-08,0.005984928305687776,0.7466211814765791,0.02538850288462513,0.01677617194098735,0,1
2018-06-11,0.005984142412849537,0.7471772494722153,0.02409227663685798,0.013314089099441428,0,1
2018-06-12,0.0056867815183763186,0.7478991627695389,0.022830739493273633,0.013886362455580059,0,1
2018-06-13,0.005737652391441604,0.7487246973046842,0.025949139137091737,0.002270579277992013,0,1
2018-06-14,0.005727896269910088,0.7495601555620016,0.023496589306947757,0.004903038114253189,0,1
2018-06-15,0.0056922965528798195,0.7520807394637735,0.024742078969293146,0.0006632631743472839,0,1
2018-06-18,0.005542271093512878,0.7538567156848117,0.026748376097457505,-0.0027216707041175514,0,1
2018-06-19,0.00558309220810718,0.7546205689784125,0.030478631210178797,-0.007826578286897035,0,1
2018-06-20,0.005568405344736453,0.75544106371685,0.028824775380509093,-0.0029522444452950714,0,1
2018-06-21,0.005755423521639272,0.7563009158163727,0.034912683000106526,-0.011690787321527618,0,1
2018-06-22,0.005721159438418337,0.7563374255557841,0.033153130978214373,-0.008624438548555546,0,1
2018-06-25,0.006558934661491967,0.7616551147737607,0.04631484072271563,-0.02010421985919797,0,1
2018-06-26,0.0059810974988562,0.7633709916390841,0.044203149046713075,-0.014155972501839198,0,1
2018-06-27,0.00551522915244302,0.7653281894586116,0.05212125380298138,-0.02398792497162383,0,1
2018-06-28,0.00549969598997641,0.7779350607078016,0.046701548823254835,-0.012215335975811592,0,1
2018-06-29,0.005029893699441121,0.7859639148716204,0.0453292478617936,-0.012593635325000796,0,1
2018-07-02,0.0049276943560701315,0.7903430170562704,0.043288261629446545,0.0031735621172532813,0,1
2018-07-03,0.004971841203387202,0.7940186863427632,0.046666437416934436,-0.0025772091294971045,0,1
2018-07-04,0.004515129727564682,0.7953478870142763,0.046666437416934436,0.005754761785652596,0,0
2018-07-05,0.004953408745333438,0.7956881078076917,0.038889441903593,0.008194817593607295,0,1
2018-07-06,0.0052984580954691845,0.7959151287954862,0.030760125749510703,0.015260886624683945,0,1
2018-07-09,0.005683779947447062,0.7956223545276342,0.02203264878156752,0.022217363909510457,0,1
2018-07-10,0.005731983697762448,0.7956749590661818,0.01851342408002965,0.029531125769477695,0,1
2018-07-11,0.005932405011026449,0.7969979681137243,0.025692741410525133,0.02200037513583486,0,1
2018-07-12,0.006249171865555288,0.7975425379821787,0.016859749236990407,0.022921080702968277,0,1
2018-07-13,0.006237818644161673,0.7969256398881334,0.016085428102759147,0.015140418833985203,0,1
2018-07-16,0.006218507514774386,0.79628766481686,0.016965505758089527,0.005181300804331546,0,1
2018-07-17,0.006177760385010797,0.7956470219742882,0.012988384881341908,0.005629256002313676,0,1
2018-07-18,0.006181087422369162,0.7957580868147927,0.01091216658492078,0.015170342512897284,0,1
2018-07-19,0.00605184006818701,0.7983293066788794,0.014642421697642294,0.002255352212084949,0,1
2018-07-20,0.006068410521457098,0.8002511125333254,0.015769003143737637,0.0003215980005371044,0,1
2018-07-23,0.005014362120982606,0.8007404113675028,0.01393862502043619,0.0030791195582486885,0,1
2018-07-24,0.005069376204775901,0.8007018399014947,0.008976574900411927,0.004064602603939704,0,1
2018-07-25,0.0046840029402157495,0.7999832345328276,0.0005307131295542167,0.010495987418551067,0,1
