date,p_structural,p_shock,tactical_level,risk_regime,structural_damage_score,breadth_damage_score,new_lows_ratio_proxy,ad_spread_proxy,sector_sync_breakdown_proxy,leadership_failure_proxy,regime_context,regime_multiplier,composite_risk_score,shock_high_cut_eff,shock_risk_cut_eff,hard_gate_reason,hard_force_crisis,hard_trend_cap_flag,hard_credit_high_flag,hard_max_allocation,recovery_active,recovery_cap,recovery_days,recovery_floor,base_allocation,shock_modifier,tactical_multiplier,final_allocation,allocation_action,drawdown_252,ret5d,vol20,hurst_100
2019-09-26,0.0069919118715793755,0.022439903240680858,0,LOW,0.1640392372590852,0.12037431506324422,0.182461465895115,0.17384610745156165,0.06413669569620055,0.21310418820462937,NEUTRAL,1.0,0.012398708850764894,0.4,0.2,NONE,0,0,0,1.0,0,1.0,0,0.0,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.01204734777557459,-0.008995582610148323,0.00519238110495555,0.763099800551566
2019-09-25,0.007472897444404531,0.02290109508204451,0,LOW,0.3130787442643894,0.38172566612541325,0.31270311896550745,-0.1587178716084025,0.46543575919539465,0.44983222666708234,NEUTRAL,1.0,0.012872766617578524,0.4,0.2,NONE,0,0,0,1.0,0,1.0,0,0.0,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.009985167082947277,-0.006993010116399079,0.005760668717386884,0.7654457364251033
2019-09-24,0.011567505038726831,0.02423772884227653,2,LOW,0.18281488805705542,0.05671858568655577,0.060653691264522976,0.4959521695571961,0.0,0.16622065148170012,NEUTRAL,1.0,0.016002083369969226,0.4,0.2,NONE,0,0,0,1.0,0,1.0,0,0.0,1.0,1.0,0.8,0.8,LIGHT_REDUCE,0.015806452474772636,-0.01224159400154523,0.005808996842197887,0.7673861413898735
2019-09-23,0.0064961644110096235,0.022185426755103432,0,LOW,0.2234993684777854,0.24145312542188913,0.23021773921784497,0.06081164385355788,0.2682337032850466,0.3513707623959632,NEUTRAL,1.0,0.011987406231442456,0.4,0.2,NONE,0,0,0,1.0,0,1.0,0,0.0,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.008022510766221957,-0.0019084426914978136,0.0055256757915416645,0.7690378350282285
2019-09-20,0.006449971700010316,0.022185426755103432,0,LOW,0.14845826838316478,0.1132188670443775,0.1467411194933725,0.29283055427913995,0.06619850217350284,0.23993584651063463,NEUTRAL,1.0,0.011957380969292906,0.4,0.2,NONE,0,0,0,1.0,0,1.0,0,0.0,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.007789619273618986,-0.00475770988075408,0.005853791170395317,0.7682269467497469
2019-09-19,0.006127871156380207,0.0235544225227672,0,LOW,0.13740088265727773,0.09716638124066462,0.1318189704318215,0.333192859205147,0.02474808811363893,0.23209846641719808,NEUTRAL,1.0,0.012227164134615654,0.4,0.2,NONE,0,0,0,1.0,0,1.0,0,0.0,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0030794667630887895,-0.0006969964652481231,0.00850283876336405,0.7677390808750594
2019-09-18,0.005107161552143863,0.022942015251470934,0,LOW,0.2018018585960448,0.2151444193917942,0.2583266231136895,-0.004842992720868466,0.12314292908842515,0.3084056314310052,NEUTRAL,1.0,0.011349360346908336,0.4,0.2,NONE,0,0,0,1.0,0,1.0,0,0.0,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.003013228503959353,0.002831012135548594,0.008505359740144405,0.7666582003599266
2019-09-17,0.004575141232259633,0.023222554104703082,0,LOW,0.28135360280821575,0.3453203063547622,0.3632773030549625,-0.29366268022285874,0.22623524384370924,0.38038311166799477,BULL,0.6,0.006661041442568904,0.4,0.2,NONE,0,0,0,1.0,0,1.0,0,0.0,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.003609038861708269,0.009358520951087801,0.008629675826425863,0.7659700534245749
2019-09-16,0.004423475468375276,0.023130596925582475,0,LOW,0.2690765480298457,0.32615241147802376,0.35254529898781545,-0.27871159471083284,0.1964241214349676,0.356713896563618,BULL,0.6,0.006582580787038677,0.4,0.2,NONE,0,0,0,1.0,0,1.0,0,0.0,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.006125758734210285,0.006572709186030812,0.008885780278337412,0.7656108749458782
2019-09-13,0.004430356928827774,0.023707252219744467,0,LOW,0.28362553195216994,0.3499090640007524,0.359651973774395,-0.31339236129898973,0.22586103111962486,0.3862962833598319,BULL,0.6,0.0067063621683891685,0.4,0.2,NONE,0,0,0,1.0,0,1.0,0,0.0,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0030464032959267584,0.010199617820312312,0.00912820190522784,0.765344232699735
